"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"207447_s_at"	"207447_s_at"	25834	"MGAT4C"	TRUE	"HG-U133_PLUS_2"
"226740_x_at"	"226740_x_at"	200030	"RP11-94I2"	FALSE	"HG-U133_PLUS_2"
"1553890_s_at"	"1553890_s_at"	126147	"NTN5"	TRUE	"HG-U133_PLUS_2"
"218693_at"	"218693_at"	23555	"TSPAN15"	TRUE	"HG-U133_PLUS_2"
"1557677_a_at"	"1557677_a_at"	339976	"TRIML1"	TRUE	"HG-U133_PLUS_2"
"226439_s_at"	"226439_s_at"	26960	"NBEA"	TRUE	"HG-U133_PLUS_2"
"1562348_at"	"1562348_at"	400680	"LOC400680"	TRUE	"HG-U133_PLUS_2"
"209074_s_at"	"209074_s_at"	11170	"FAM107A"	TRUE	"HG-U133_PLUS_2"
"223658_at"	"223658_at"	9424	"KCNK6"	TRUE	"HG-U133_PLUS_2"
"208832_at"	"208832_at"	25814	"ATXN10"	TRUE	"HG-U133_PLUS_2"
"216615_s_at"	"216615_s_at"	3359	"HTR3A"	TRUE	"HG-U133_PLUS_2"
"222662_at"	"222662_at"	79660	"PPP1R3B"	TRUE	"HG-U133_PLUS_2"
"217281_x_at"	"217281_x_at"	3576	"IL8"	TRUE	"HG-U133_PLUS_2"
"236037_at"	"236037_at"	202451	"LOC202451"	TRUE	"HG-U133_PLUS_2"
"206675_s_at"	"206675_s_at"	6498	"SKIL"	TRUE	"HG-U133_PLUS_2"
"218604_at"	"218604_at"	23592	"LEMD3"	TRUE	"HG-U133_PLUS_2"
"213799_s_at"	"213799_s_at"	5786	"PTPRA"	TRUE	"HG-U133_PLUS_2"
"212195_at"	"212195_at"	3572	"IL6ST"	TRUE	"HG-U133_PLUS_2"
"215974_at"	"215974_at"	80868	"HCG4P6"	TRUE	"HG-U133_PLUS_2"
"214412_at"	"214412_at"	474382	"H2AFB1"	TRUE	"HG-U133_PLUS_2"
"229890_at"	"229890_at"	80863	"PRRT1"	TRUE	"HG-U133_PLUS_2"
"236800_at"	"236800_at"	221044	"C10orf49"	TRUE	"HG-U133_PLUS_2"
"208446_s_at"	"208446_s_at"	9372	"ZFYVE9"	TRUE	"HG-U133_PLUS_2"
"200085_s_at"	"200085_s_at"	6923	"TCEB2"	TRUE	"HG-U133_PLUS_2"
"207985_at"	"207985_at"	26237	"-"	TRUE	"HG-U133_PLUS_2"
"208847_s_at"	"208847_s_at"	128	"ADH5"	TRUE	"HG-U133_PLUS_2"
"234813_at"	"234813_at"	66000	"TMEM108"	TRUE	"HG-U133_PLUS_2"
"202971_s_at"	"202971_s_at"	8445	"DYRK2"	TRUE	"HG-U133_PLUS_2"
"243052_at"	"243052_at"	148932	"MOBKL2C"	TRUE	"HG-U133_PLUS_2"
