"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"1553394_a_at"	"1553394_a_at"	7021	"TFAP2B"	TRUE	"HG-U133_PLUS_2"
"1559180_at"	"1559180_at"	9455	"HOMER2"	FALSE	"HG-U133_PLUS_2"
"239499_at"	"239499_at"	146754	"DNAH2"	TRUE	"HG-U133_PLUS_2"
"219654_at"	"219654_at"	9200	"PTPLA"	TRUE	"HG-U133_PLUS_2"
"202382_s_at"	"202382_s_at"	10007	"GNPDA1"	TRUE	"HG-U133_PLUS_2"
"207926_at"	"207926_at"	2814	"GP5"	TRUE	"HG-U133_PLUS_2"
"222963_s_at"	"222963_s_at"	11141	"IL1RAPL1"	TRUE	"HG-U133_PLUS_2"
"223347_at"	"223347_at"	84939	"MUM1"	TRUE	"HG-U133_PLUS_2"
"223669_at"	"223669_at"	55363	"HEMGN"	TRUE	"HG-U133_PLUS_2"
"228691_at"	"228691_at"	636	"BICD1"	TRUE	"HG-U133_PLUS_2"
"1559580_at"	"1559580_at"	127495	"LRRC39"	TRUE	"HG-U133_PLUS_2"
"222936_s_at"	"222936_s_at"	51029	"FAM152A"	TRUE	"HG-U133_PLUS_2"
"219764_at"	"219764_at"	11211	"FZD10"	TRUE	"HG-U133_PLUS_2"
"1729_at"	"1729_at"	8717	"TRADD"	TRUE	"HG-U133_PLUS_2"
"211365_s_at"	"211365_s_at"	56146	"PCDHA2"	TRUE	"HG-U133_PLUS_2"
"233644_at"	"233644_at"	83473	"KATNAL2"	TRUE	"HG-U133_PLUS_2"
"1562142_at"	"1562142_at"	23517	"SKIV2L2"	TRUE	"HG-U133_PLUS_2"
"220181_x_at"	"220181_x_at"	64924	"SLC30A5"	TRUE	"HG-U133_PLUS_2"
"231572_at"	"231572_at"	136242	"LOC136242"	TRUE	"HG-U133_PLUS_2"
"238925_at"	"238925_at"	6645	"SNTB2"	TRUE	"HG-U133_PLUS_2"
"235699_at"	"235699_at"	161253	"REM2"	TRUE	"HG-U133_PLUS_2"
"229269_x_at"	"229269_x_at"	170463	"SSBP4"	TRUE	"HG-U133_PLUS_2"
"211177_s_at"	"211177_s_at"	10587	"TXNRD2"	TRUE	"HG-U133_PLUS_2"
"208985_s_at"	"208985_s_at"	8669	"EIF3J"	TRUE	"HG-U133_PLUS_2"
"210614_at"	"210614_at"	7274	"TTPA"	TRUE	"HG-U133_PLUS_2"
"205923_at"	"205923_at"	5649	"RELN"	TRUE	"HG-U133_PLUS_2"
"1559059_s_at"	"1559059_s_at"	81856	"ZNF611"	TRUE	"HG-U133_PLUS_2"
"207390_s_at"	"207390_s_at"	6525	"SMTN"	TRUE	"HG-U133_PLUS_2"
"206847_s_at"	"206847_s_at"	3204	"HOXA7"	TRUE	"HG-U133_PLUS_2"
"231936_at"	"231936_at"	3225	"HOXC9"	TRUE	"HG-U133_PLUS_2"
"220434_at"	"220434_at"	79934	"ADCK4"	TRUE	"HG-U133_PLUS_2"
"224619_at"	"224619_at"	113201	"CASC4"	TRUE	"HG-U133_PLUS_2"
"1568574_x_at"	"1568574_x_at"	6696	"SPP1"	TRUE	"HG-U133_PLUS_2"
"224888_at"	"224888_at"	85465	"SELI"	TRUE	"HG-U133_PLUS_2"
"220422_at"	"220422_at"	50613	"UBQLN3"	TRUE	"HG-U133_PLUS_2"
"218201_at"	"218201_at"	4708	"NDUFB2"	TRUE	"HG-U133_PLUS_2"
"232328_at"	"232328_at"	79818	"ZNF552"	TRUE	"HG-U133_PLUS_2"
"215880_at"	"215880_at"	4669	"NAGLU"	TRUE	"HG-U133_PLUS_2"
"239889_at"	"239889_at"	387923	"SERP2"	TRUE	"HG-U133_PLUS_2"
"208359_s_at"	"208359_s_at"	3761	"KCNJ4"	TRUE	"HG-U133_PLUS_2"
"218819_at"	"218819_at"	26512	"INTS6"	TRUE	"HG-U133_PLUS_2"
"231613_at"	"231613_at"	4139	"MARK1"	TRUE	"HG-U133_PLUS_2"
"241759_at"	"241759_at"	79015	"MGC5566"	TRUE	"HG-U133_PLUS_2"
"238411_x_at"	"238411_x_at"	9315	"C5orf13"	TRUE	"HG-U133_PLUS_2"
"223587_s_at"	"223587_s_at"	81693	"AMN"	TRUE	"HG-U133_PLUS_2"
"217114_at"	"217114_at"	652147	"LOC652147"	TRUE	"HG-U133_PLUS_2"
"216047_x_at"	"216047_x_at"	23544	"SEZ6L"	TRUE	"HG-U133_PLUS_2"
"220910_at"	"220910_at"	80144	"FRAS1"	TRUE	"HG-U133_PLUS_2"
"1553874_a_at"	"1553874_a_at"	84891	"ZSCAN10"	TRUE	"HG-U133_PLUS_2"
"212851_at"	"212851_at"	23142	"DCUN1D4"	TRUE	"HG-U133_PLUS_2"
"203707_at"	"203707_at"	10127	"ZNF263"	TRUE	"HG-U133_PLUS_2"
"200859_x_at"	"200859_x_at"	2316	"FLNA"	TRUE	"HG-U133_PLUS_2"
"208012_x_at"	"208012_x_at"	3431	"SP110"	TRUE	"HG-U133_PLUS_2"
"1559481_at"	"1559481_at"	53344	"CHIC1"	TRUE	"HG-U133_PLUS_2"
"227773_at"	"227773_at"	140700	"SAMD10"	TRUE	"HG-U133_PLUS_2"
"205242_at"	"205242_at"	10563	"CXCL13"	TRUE	"HG-U133_PLUS_2"
"222789_at"	"222789_at"	54665	"RSBN1"	TRUE	"HG-U133_PLUS_2"
"216552_x_at"	"216552_x_at"	3809	"KIR2DS4"	TRUE	"HG-U133_PLUS_2"
"234403_at"	"234403_at"	126370	"OR1I1"	TRUE	"HG-U133_PLUS_2"
"208460_at"	"208460_at"	10052	"GJC1"	TRUE	"HG-U133_PLUS_2"
"201362_at"	"201362_at"	10625	"IVNS1ABP"	TRUE	"HG-U133_PLUS_2"
"231042_s_at"	"231042_s_at"	817	"CAMK2D"	TRUE	"HG-U133_PLUS_2"
"213072_at"	"213072_at"	50626	"CYHR1"	TRUE	"HG-U133_PLUS_2"
"215778_x_at"	"215778_x_at"	55547	"HAB1"	TRUE	"HG-U133_PLUS_2"
"1555189_a_at"	"1555189_a_at"	6898	"TAT"	TRUE	"HG-U133_PLUS_2"
"1570023_at"	"1570023_at"	641515	"LOC641515"	TRUE	"HG-U133_PLUS_2"
"1553492_a_at"	"1553492_a_at"	5075	"PAX1"	TRUE	"HG-U133_PLUS_2"
"215820_x_at"	"215820_x_at"	23161	"SNX13"	TRUE	"HG-U133_PLUS_2"
"1553427_at"	"1553427_at"	170689	"ADAMTS15"	TRUE	"HG-U133_PLUS_2"
"1554401_a_at"	"1554401_a_at"	6991	"TCTE3"	TRUE	"HG-U133_PLUS_2"
"220382_s_at"	"220382_s_at"	79822	"ARHGAP28"	TRUE	"HG-U133_PLUS_2"
"207831_x_at"	"207831_x_at"	1725	"DHPS"	TRUE	"HG-U133_PLUS_2"
"1555233_at"	"1555233_at"	57381	"RHOJ"	TRUE	"HG-U133_PLUS_2"
"226664_at"	"226664_at"	128637	"TBC1D20"	TRUE	"HG-U133_PLUS_2"
"1564642_at"	"1564642_at"	862	"RUNX1T1"	TRUE	"HG-U133_PLUS_2"
"1559575_a_at"	"1559575_a_at"	375318	"AQP12A"	FALSE	"HG-U133_PLUS_2"
"201557_at"	"201557_at"	6844	"VAMP2"	TRUE	"HG-U133_PLUS_2"
"205513_at"	"205513_at"	6947	"TCN1"	TRUE	"HG-U133_PLUS_2"
"221961_at"	"221961_at"	1186	"CLCN7"	TRUE	"HG-U133_PLUS_2"
"205401_at"	"205401_at"	8540	"AGPS"	TRUE	"HG-U133_PLUS_2"
"1561685_a_at"	"1561685_a_at"	441178	"LOC441178"	TRUE	"HG-U133_PLUS_2"
"239539_at"	"239539_at"	4752	"NEK3"	TRUE	"HG-U133_PLUS_2"
"232942_at"	"232942_at"	84795	"C10orf33"	TRUE	"HG-U133_PLUS_2"
"1558076_at"	"1558076_at"	84250	"ANKRD32"	TRUE	"HG-U133_PLUS_2"
"235175_at"	"235175_at"	115361	"GBP4"	TRUE	"HG-U133_PLUS_2"
"206181_at"	"206181_at"	6504	"SLAMF1"	TRUE	"HG-U133_PLUS_2"
"230854_at"	"230854_at"	400500	"BCAR4"	TRUE	"HG-U133_PLUS_2"
"214481_at"	"214481_at"	8336	"HIST1H2AM"	TRUE	"HG-U133_PLUS_2"
"225739_at"	"225739_at"	84440	"RAB11FIP4"	TRUE	"HG-U133_PLUS_2"
"209718_at"	"209718_at"	29781	"NCAPH2"	TRUE	"HG-U133_PLUS_2"
"232140_at"	"232140_at"	100132352	"LOC100132352"	TRUE	"HG-U133_PLUS_2"
"228855_at"	"228855_at"	283927	"NUDT7"	TRUE	"HG-U133_PLUS_2"
"218808_at"	"218808_at"	55152	"DALRD3"	TRUE	"HG-U133_PLUS_2"
"210841_s_at"	"210841_s_at"	8828	"NRP2"	TRUE	"HG-U133_PLUS_2"
"224519_at"	"224519_at"	100132167	"LOC100132167"	TRUE	"HG-U133_PLUS_2"
"203486_s_at"	"203486_s_at"	25852	"ARMC8"	TRUE	"HG-U133_PLUS_2"
"216947_at"	"216947_at"	1674	"DES"	TRUE	"HG-U133_PLUS_2"
"635_s_at"	"635_s_at"	5526	"PPP2R5B"	TRUE	"HG-U133_PLUS_2"
"239871_at"	"239871_at"	1213	"CLTC"	TRUE	"HG-U133_PLUS_2"
"1565228_s_at"	"1565228_s_at"	213	"ALB"	TRUE	"HG-U133_PLUS_2"
"201429_s_at"	"201429_s_at"	5347	"PLK1"	FALSE	"HG-U133_PLUS_2"
"201400_at"	"201400_at"	5691	"PSMB3"	TRUE	"HG-U133_PLUS_2"
"201995_at"	"201995_at"	2131	"EXT1"	TRUE	"HG-U133_PLUS_2"
"1554919_s_at"	"1554919_s_at"	79846	"C7orf63"	TRUE	"HG-U133_PLUS_2"
"1558045_a_at"	"1558045_a_at"	441528	"LOC441528"	TRUE	"HG-U133_PLUS_2"
"1568763_s_at"	"1568763_s_at"	10016	"PDCD6"	TRUE	"HG-U133_PLUS_2"
"203142_s_at"	"203142_s_at"	8546	"AP3B1"	TRUE	"HG-U133_PLUS_2"
"216417_x_at"	"216417_x_at"	3219	"HOXB9"	TRUE	"HG-U133_PLUS_2"
"243264_s_at"	"243264_s_at"	23678	"SGK3"	FALSE	"HG-U133_PLUS_2"
"204769_s_at"	"204769_s_at"	6891	"TAP2"	TRUE	"HG-U133_PLUS_2"
"1554722_at"	"1554722_at"	80036	"TRPM3"	TRUE	"HG-U133_PLUS_2"
"242444_at"	"242444_at"	114904	"C1QTNF6"	TRUE	"HG-U133_PLUS_2"
"1566558_x_at"	"1566558_x_at"	440465	"FLJ90757"	TRUE	"HG-U133_PLUS_2"
"1554666_at"	"1554666_at"	284017	"LOC284017"	FALSE	"HG-U133_PLUS_2"
"244538_at"	"244538_at"	146212	"KCTD19"	TRUE	"HG-U133_PLUS_2"
"206835_at"	"206835_at"	6779	"STATH"	TRUE	"HG-U133_PLUS_2"
"232785_at"	"232785_at"	57529	"RGAG1"	TRUE	"HG-U133_PLUS_2"
"221010_s_at"	"221010_s_at"	23408	"SIRT5"	TRUE	"HG-U133_PLUS_2"
"1556312_at"	"1556312_at"	388939	"C2orf71"	TRUE	"HG-U133_PLUS_2"
"207053_at"	"207053_at"	6546	"SLC8A1"	TRUE	"HG-U133_PLUS_2"
"204946_s_at"	"204946_s_at"	7156	"TOP3A"	TRUE	"HG-U133_PLUS_2"
"220600_at"	"220600_at"	54859	"C3orf75"	TRUE	"HG-U133_PLUS_2"
"231874_at"	"231874_at"	285172	"FAM126B"	TRUE	"HG-U133_PLUS_2"
"1559091_s_at"	"1559091_s_at"	221472	"FGD2"	TRUE	"HG-U133_PLUS_2"
"209420_s_at"	"209420_s_at"	6609	"SMPD1"	TRUE	"HG-U133_PLUS_2"
"216260_at"	"216260_at"	23405	"DICER1"	TRUE	"HG-U133_PLUS_2"
"206844_at"	"206844_at"	8789	"FBP2"	TRUE	"HG-U133_PLUS_2"
"202877_s_at"	"202877_s_at"	22918	"CD93"	TRUE	"HG-U133_PLUS_2"
"243874_at"	"243874_at"	4026	"LPP"	TRUE	"HG-U133_PLUS_2"
"242600_at"	"242600_at"	257019	"FRMD3"	TRUE	"HG-U133_PLUS_2"
"218119_at"	"218119_at"	10431	"TIMM23"	TRUE	"HG-U133_PLUS_2"
"218059_at"	"218059_at"	51123	"ZNF706"	TRUE	"HG-U133_PLUS_2"
"203759_at"	"203759_at"	6484	"ST3GAL4"	TRUE	"HG-U133_PLUS_2"
"231878_at"	"231878_at"	9961	"MVP"	FALSE	"HG-U133_PLUS_2"
"233854_x_at"	"233854_x_at"	9622	"KLK4"	TRUE	"HG-U133_PLUS_2"
"239061_at"	"239061_at"	348825	"TPRXL"	TRUE	"HG-U133_PLUS_2"
"224426_s_at"	"224426_s_at"	399746	"FKSG74"	TRUE	"HG-U133_PLUS_2"
"232430_at"	"232430_at"	148696	"LOC148696"	TRUE	"HG-U133_PLUS_2"
"210034_s_at"	"210034_s_at"	388907	"LOC388907"	TRUE	"HG-U133_PLUS_2"
"221015_s_at"	"221015_s_at"	81602	"CDADC1"	TRUE	"HG-U133_PLUS_2"
"209504_s_at"	"209504_s_at"	58473	"PLEKHB1"	TRUE	"HG-U133_PLUS_2"
"238080_at"	"238080_at"	338707	"B4GALNT4"	TRUE	"HG-U133_PLUS_2"
"1554612_at"	"1554612_at"	9711	"KIAA0226"	TRUE	"HG-U133_PLUS_2"
"228832_at"	"228832_at"	90024	"FLJ20021"	TRUE	"HG-U133_PLUS_2"
"232450_at"	"232450_at"	149351	"LOC149351"	TRUE	"HG-U133_PLUS_2"
"203316_s_at"	"203316_s_at"	6635	"SNRPE"	TRUE	"HG-U133_PLUS_2"
"226644_at"	"226644_at"	142678	"MIB2"	TRUE	"HG-U133_PLUS_2"
"224444_s_at"	"224444_s_at"	84791	"C1orf97"	TRUE	"HG-U133_PLUS_2"
"230906_at"	"230906_at"	55568	"GALNT10"	TRUE	"HG-U133_PLUS_2"
"1558976_x_at"	"1558976_x_at"	124402	"FAM100A"	TRUE	"HG-U133_PLUS_2"
"241886_x_at"	"241886_x_at"	54509	"RHOF"	TRUE	"HG-U133_PLUS_2"
"1569124_at"	"1569124_at"	220416	"LRRC63"	TRUE	"HG-U133_PLUS_2"
"218484_at"	"218484_at"	56901	"NDUFA4L2"	TRUE	"HG-U133_PLUS_2"
"230964_at"	"230964_at"	341640	"FREM2"	TRUE	"HG-U133_PLUS_2"
"206922_at"	"206922_at"	353513	"VCY1B"	TRUE	"HG-U133_PLUS_2"
"207006_s_at"	"207006_s_at"	29903	"CCDC106"	TRUE	"HG-U133_PLUS_2"
"222590_s_at"	"222590_s_at"	51701	"NLK"	TRUE	"HG-U133_PLUS_2"
"214909_s_at"	"214909_s_at"	23564	"DDAH2"	TRUE	"HG-U133_PLUS_2"
"212252_at"	"212252_at"	10645	"CAMKK2"	TRUE	"HG-U133_PLUS_2"
"210889_s_at"	"210889_s_at"	2213	"FCGR2B"	TRUE	"HG-U133_PLUS_2"
"1557296_at"	"1557296_at"	440101	"FLJ12825"	TRUE	"HG-U133_PLUS_2"
"205649_s_at"	"205649_s_at"	2243	"FGA"	TRUE	"HG-U133_PLUS_2"
"1553118_at"	"1553118_at"	117145	"THEM4"	TRUE	"HG-U133_PLUS_2"
"211710_x_at"	"211710_x_at"	6124	"RPL4"	TRUE	"HG-U133_PLUS_2"
"219904_at"	"219904_at"	79149	"ZSCAN5A"	TRUE	"HG-U133_PLUS_2"
"202417_at"	"202417_at"	9817	"KEAP1"	TRUE	"HG-U133_PLUS_2"
"1564207_at"	"1564207_at"	255031	"FLJ35390"	TRUE	"HG-U133_PLUS_2"
"217635_s_at"	"217635_s_at"	5428	"POLG"	TRUE	"HG-U133_PLUS_2"
"220120_s_at"	"220120_s_at"	64097	"EPB41L4A"	TRUE	"HG-U133_PLUS_2"
"201301_s_at"	"201301_s_at"	307	"ANXA4"	TRUE	"HG-U133_PLUS_2"
"225804_at"	"225804_at"	124936	"CYB5D2"	TRUE	"HG-U133_PLUS_2"
"1552279_a_at"	"1552279_a_at"	113235	"SLC46A1"	TRUE	"HG-U133_PLUS_2"
"209608_s_at"	"209608_s_at"	39	"ACAT2"	TRUE	"HG-U133_PLUS_2"
"236672_at"	"236672_at"	148213	"ZNF681"	TRUE	"HG-U133_PLUS_2"
"1553483_at"	"1553483_at"	254187	"TSGA10IP"	TRUE	"HG-U133_PLUS_2"
"234707_x_at"	"234707_x_at"	28823	"IGLV1-44"	TRUE	"HG-U133_PLUS_2"
"202582_s_at"	"202582_s_at"	10048	"RANBP9"	TRUE	"HG-U133_PLUS_2"
"213063_at"	"213063_at"	79882	"ZC3H14"	TRUE	"HG-U133_PLUS_2"
"200951_s_at"	"200951_s_at"	894	"CCND2"	TRUE	"HG-U133_PLUS_2"
"223299_at"	"223299_at"	90701	"SEC11C"	TRUE	"HG-U133_PLUS_2"
"1565080_at"	"1565080_at"	6714	"SRC"	TRUE	"HG-U133_PLUS_2"
"213516_at"	"213516_at"	11214	"AKAP13"	TRUE	"HG-U133_PLUS_2"
"241748_x_at"	"241748_x_at"	8220	"DGCR14"	TRUE	"HG-U133_PLUS_2"
"240834_at"	"240834_at"	90268	"FAM105B"	TRUE	"HG-U133_PLUS_2"
"205758_at"	"205758_at"	925	"CD8A"	TRUE	"HG-U133_PLUS_2"
"212510_at"	"212510_at"	23171	"GPD1L"	TRUE	"HG-U133_PLUS_2"
"226753_at"	"226753_at"	143684	"FAM76B"	TRUE	"HG-U133_PLUS_2"
"239147_at"	"239147_at"	153642	"ARSK"	TRUE	"HG-U133_PLUS_2"
"216455_at"	"216455_at"	645372	"FLJ00049"	TRUE	"HG-U133_PLUS_2"
"206660_at"	"206660_at"	3543	"IGLL1"	TRUE	"HG-U133_PLUS_2"
"209095_at"	"209095_at"	1738	"DLD"	TRUE	"HG-U133_PLUS_2"
"225014_at"	"225014_at"	389203	"LOC389203"	TRUE	"HG-U133_PLUS_2"
"223870_at"	"223870_at"	10517	"FBXW10"	TRUE	"HG-U133_PLUS_2"
"231626_at"	"231626_at"	7166	"TPH1"	TRUE	"HG-U133_PLUS_2"
"1569064_at"	"1569064_at"	643338	"C15orf62"	TRUE	"HG-U133_PLUS_2"
"1564499_at"	"1564499_at"	153514	"C14orf81"	TRUE	"HG-U133_PLUS_2"
"218190_s_at"	"218190_s_at"	29796	"UCRC"	TRUE	"HG-U133_PLUS_2"
"222243_s_at"	"222243_s_at"	10766	"TOB2"	TRUE	"HG-U133_PLUS_2"
"235358_at"	"235358_at"	728485	"LOC728485"	TRUE	"HG-U133_PLUS_2"
"223871_x_at"	"223871_x_at"	84289	"ING5"	TRUE	"HG-U133_PLUS_2"
"221827_at"	"221827_at"	10616	"RBCK1"	TRUE	"HG-U133_PLUS_2"
"224652_at"	"224652_at"	219771	"CCNY"	TRUE	"HG-U133_PLUS_2"
"211815_s_at"	"211815_s_at"	23163	"GGA3"	TRUE	"HG-U133_PLUS_2"
"225878_at"	"225878_at"	23095	"KIF1B"	TRUE	"HG-U133_PLUS_2"
"226880_at"	"226880_at"	64710	"NUCKS1"	TRUE	"HG-U133_PLUS_2"
"227225_at"	"227225_at"	84858	"ZNF503"	TRUE	"HG-U133_PLUS_2"
"219441_s_at"	"219441_s_at"	79705	"LRRK1"	TRUE	"HG-U133_PLUS_2"
"1562102_at"	"1562102_at"	1645	"AKR1C1"	TRUE	"HG-U133_PLUS_2"
